,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year,Region
0,Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,2015,Asia
1,Afghanistan,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2016,Asia
2,Afghanistan,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,2017,Asia
3,Afghanistan,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2018,Asia
4,Afghanistan,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158,2019,Asia
5,Afghanistan,153,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.001225785,0.135234714,2020,Asia
6,Afghanistan,149,2.523,0.37,0.0,0.126,0.0,0.01,0.122,2021,Asia
7,Albania,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,2015,Europe
8,Albania,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,2016,Europe
9,Albania,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,2017,Europe
10,Albania,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,2018,Europe
11,Albania,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,2019,Europe
12,Albania,105,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.025361285,0.171027765,2020,Europe
13,Albania,93,5.117,1.008,0.529,0.646,0.491,0.024,0.168,2021,Europe
14,Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2015,Africa
15,Algeria,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,2016,Africa
16,Algeria,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2017,Africa
17,Algeria,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2018,Africa
18,Algeria,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,2019,Africa
19,Algeria,100,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.129190654,0.118915014,2020,Africa
20,Algeria,109,4.887,0.946,0.765,0.552,0.119,0.12,0.144,2021,Africa
21,Angola,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,2015,Africa
22,Angola,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2016,Africa
23,Angola,140,3.795000076,0.85842818,1.10441196,0.049868666,0.0,0.069720335,0.09792649,2017,Africa
24,Angola,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079,2018,Africa
25,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2015,South America
26,Argentina,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,2016,South America
27,Argentina,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2017,South America
28,Argentina,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2018,South America
29,Argentina,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,2019,South America
30,Argentina,55,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.060415059,0.070100471,2020,South America
31,Argentina,57,5.929,1.162,0.98,0.646,0.544,0.067,0.069,2021,South America
32,Armenia,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,2015,Europe
33,Armenia,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,2016,Europe
34,Armenia,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,2017,Europe
35,Armenia,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,2018,Europe
36,Armenia,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,2019,Europe
37,Armenia,116,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.104618184,0.107225738,2020,Europe
38,Armenia,86,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2021,Europe
39,Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2015,Oceania
40,Australia,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2016,Oceania
41,Australia,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,2017,Oceania
42,Australia,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2018,Oceania
43,Australia,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2019,Oceania
44,Australia,12,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.335996419,0.324973613,2020,Oceania
45,Australia,11,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2021,Oceania
46,Austria,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2015,Europe
47,Austria,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2016,Europe
48,Austria,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2017,Europe
49,Austria,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2018,Europe
50,Austria,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2019,Europe
51,Austria,9,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.281256139,0.255509764,2020,Europe
52,Austria,10,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2021,Europe
53,Azerbaijan,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015,Europe
54,Azerbaijan,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2016,Europe
55,Azerbaijan,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,2017,Europe
56,Azerbaijan,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,2018,Europe
57,Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,2019,Europe
58,Azerbaijan,89,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.247307181,0.040113214,2020,Europe
59,Azerbaijan,90,5.171,1.025,0.841,0.541,0.526,0.276,0.043,2021,Europe
60,Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015,Asia
61,Bahrain,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2016,Asia
62,Bahrain,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,2017,Asia
63,Bahrain,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,2018,Asia
64,Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,2019,Asia
65,Bahrain,40,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.126697257,0.287453711,2020,Asia
66,Bahrain,22,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2021,Asia
67,Bangladesh,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2015,Asia
68,Bangladesh,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2016,Asia
69,Bangladesh,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,2017,Asia
70,Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,2018,Asia
71,Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,2019,Asia
72,Bangladesh,107,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176735908,0.176745117,2020,Asia
73,Bangladesh,101,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2021,Asia
74,Belarus,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2015,Europe
75,Belarus,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2016,Europe
76,Belarus,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,2017,Europe
77,Belarus,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,2018,Europe
78,Belarus,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,2019,Europe
79,Belarus,75,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.193607435,0.08993306,2020,Europe
80,Belarus,75,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2021,Europe
81,Belgium,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2015,Europe
82,Belgium,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016,Europe
83,Belgium,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2017,Europe
84,Belgium,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018,Europe
85,Belgium,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2019,Europe
86,Belgium,20,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.208724052,0.146966159,2020,Europe
87,Belgium,20,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2021,Europe
88,Belize,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,2016,North America
89,Belize,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.096581072,0.240015641,2017,North America
90,Belize,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2018,North America
91,Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015,Africa
92,Benin,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2016,Africa
93,Benin,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,2017,Africa
94,Benin,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2018,Africa
95,Benin,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,2019,Africa
96,Benin,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428,2020,Africa
97,Benin,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166,2021,Africa
98,Bhutan,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,2015,Asia
99,Bhutan,84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,2016,Asia
100,Bhutan,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,2017,Asia
101,Bhutan,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,2018,Asia
102,Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,2019,Asia
103,Bolivia,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2015,South America
104,Bolivia,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2016,South America
105,Bolivia,58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2017,South America
106,Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2018,South America
107,Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2019,South America
108,Bolivia,65,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.072942637,0.138375074,2020,South America
109,Bolivia,69,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2021,South America
110,Bosnia and Herzegovina,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2015,Europe
111,Bosnia and Herzegovina,87,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2016,Europe
112,Bosnia and Herzegovina,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.0,0.328867495,2017,Europe
113,Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216,2018,Europe
114,Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,2019,Europe
115,Bosnia and Herzegovina,69,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.001172487,0.264005244,2020,Europe
116,Bosnia and Herzegovina,64,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2021,Europe
117,Botswana,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015,Africa
118,Botswana,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,2016,Africa
119,Botswana,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,2017,Africa
120,Botswana,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,2018,Africa
121,Botswana,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,2019,Africa
122,Botswana,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.101786368,0.033407487,2020,Africa
123,Botswana,146,3.467,1.099,0.724,0.34,0.539,0.088,0.027,2021,Africa
124,Brazil,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015,South America
125,Brazil,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016,South America
126,Brazil,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2017,South America
127,Brazil,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018,South America
128,Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2019,South America
129,Brazil,32,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.106518604,0.131674588,2020,South America
130,Brazil,35,6.33,1.028,0.944,0.571,0.514,0.117,0.142,2021,South America
